"CZOST","Kostelec (Ostrov u Stribra 11)","Jan �ebesta","Oliver Krueger"
"MYSHA","Shah Alam (Sunway Subang)","",""
"FITUR","Turku (Ruukinkatu)","Maiju Laukkanen","Antti Eronen (inactive)"
"SEEBO","Gothenburg (Olof Asklundsgata)","",""
"NLBLA","Bladel (t' Rootven)","Rene van den Biggelaar","Rudy Brookman"
"USAHG","Norcross, GA (Medlock Bridge Road)","Melissa Jerkins","Melissa Jerkins"
"BRDIA","Diadema - SP","David Borloni","Danilo Barbosa"
"IESHA","Shannon (Kuehne and Nagel Ireland)","Gerard Melvin","Gobuchandhar Rangasamy (inactive)"
"CNQIN","Qingtian, Lishui","Hu Zhou","Simon Xi (inactive)"
"USASH","Asheville, NC (Patton Ave)","",""
"FRLEV","Levallois-Perret, Paris (rue Jacques Ibe","",""
"USABY","Albany, NY (Albany St)","Jason Gibson","Chris Kirwan"
"USCEL","Columbia, SC (Cort Rd)","Jason Gibson","Chris Kirwan"
"MXAGA","Aguascalientes","Jason Gibson","Chris Kirwan"
"PLDOB","Dobrzen Wielki (Namyslowska)","Micha? Wielgosz","David Spudich"
"NLDRI","Driebergen (Odijkerweg)","Peter Krause",""
"SEMOL","M�lnlycke (�karev�gen 1 )","Jonas Aarne","Mikael Rehn"
"FRBRU","Brumath (Rue des Carri�res)","Dejan Stojanovic","Christian Kupfer"
"NOHAR","Harstad (�smyrveien 3)","Bj�rn H�kon Aune","J�rgen S�tre"
"CAEDW","Edmonton, AB (106 Ave)","Marcus Menasce","John Pereira"
"DEELG","Schauenburg Elgershausen (Hilschen)","Jeffrey Bleeker","Arash Mohsen"
"AM001","Azure US East","",""
"ATVIE","Vienna (H�tteldorfer str)","Christian Kupfer","Frank Henning"
"DEJEN","Jena (Unstrutweg)","",""
"ZABRO","Broadacres (Cedar & Gateside Ave)","",""
"CNGON","Shenzhen (Dongfa Rd)","Kang Xie","Simon Xi (inactive)"
"COCAR","Cartegena (Via Mamonal)","Edicson Villanueva","Jaime Lopez"
"HKIDC","Hong Kong (399 Chai Wan Rd)","",""
"NOGJO","Gj�vik (Kallerudsvingen)","Tommy Kildal","J�rgen S�tre"
"USATN","Austin, TX (Todd Ln)","Jason Gibson","Chris Kirwan"
"CNIDC","GSSC Data center China Mainland Primary","Kevin Lu(IT)","Michel Humeur"
"USBAX","Baxter, MN (Design Road)","Marc Stroot","Brian Brown"
"AM005","Azure US South Central","",""
"CHROM","Romanel-sur-Morges (ZI du Moulin du Choc","Adam Liljerum","Arash Mohsen"
"MXMTX","Tamaulipas","Ursula VanDyke","Brian Brown"
"AUAUB","Auburn, NSW (Percy St)","Jason Ngo (inactive)","Les Wallace"
"USORD","Orlando, FL (Creek RD)","Marcus Menasce","John Pereira"
"ROHUN","Hunedoara (Parcul Industrial D.J.)","Mihai Stef","Ralf Weskamp"
"USKYR","Tempe, AZ (E 5th St)","Marcus Menasce","John Pereira"
"ZAPOE","Port Elizabeth (Saunton Rd)","",""
"USIRD","Irwindale, CA (12801)","Byron Rohrbach","Angelo Reyes"
"DEEFT","Erfurt (Am Urbicher Kreuz 28)","",""
"MYKUB","Subang Jaya (Wisma Consplant 1)","",""
"SEKOP","K�ping (Sveav�gen)","","Amela Buhic"
"ATNIE","Niederwaldkirchen (Drautendorf)","Claudio Catanuta","Dietmar Rabeder"
"PTAGQ","Agueda (Vale do Salgueir� 817)","",""
"CNTAI","Taizhou (Jinqing, Luiqiao)","Zaijiang Ye (inactive)","Simon Xi (inactive)"
"INMUE","Mumbai MAHARASHTRA (GOREGAON EAST)","Hemen Sanghavi","Kenny Cheung (inactive)"
"FILAP","Lappeenranta (Myllym�enkatu 25)","",""
"FRGRE","Grentheville (rue des Fr�res Chappes)","",""
